loan_id,bureau_score,dti_ratio,employment_yrs,loan_amount,annual_income,default_flag,lgd
L00001,668,0.1396,11.1,19675.0,60157.0,0,0
L00002,666,0.4655,8.3,46986.0,51303.0,0,0
L00003,742,0.4655,2.4,47177.0,124881.0,0,0
L00004,590,0.3088,0.5,21531.0,49807.0,0,0
L00005,659,0.4905,0.9,47622.0,164010.0,0,0
L00006,850,0.2842,10.5,22895.0,21002.0,0,0
L00007,674,0.2916,2.5,36643.0,101293.0,0,0
L00008,739,0.272,5.7,37921.0,68603.0,0,0
L00009,489,0.1549,1.8,49257.0,69744.0,0,0
L00010,736,0.0211,1.8,35850.0,155531.0,0,0
L00011,580,0.1975,3.9,46485.0,75267.0,0,0
L00012,695,0.1374,1.3,28048.0,69275.0,0,0
L00013,699,0.2396,13.7,40764.0,212824.0,0,0
L00014,656,0.1089,6.5,20402.0,22104.0,0,0
L00015,712,0.3248,2.9,72351.0,34322.0,0,0
L00016,761,0.2722,1.5,56789.0,12743.0,0,0
L00017,560,0.1243,0.3,41992.0,85741.0,0,0
L00018,636,0.0792,1.3,21229.0,71419.0,0,0
L00019,495,0.2117,5.6,28258.0,75579.0,0,0
L00020,653,0.1149,10.6,60840.0,93864.0,0,0
L00021,674,0.5241,0.6,38667.0,82325.0,0,0
L00022,671,0.3582,9.4,19797.0,113647.0,0,0
L00023,674,0.4383,11.7,46001.0,65061.0,0,0
L00024,578,0.1374,11.5,26072.0,104304.0,0,0
L00025,784,0.418,0.1,49210.0,23371.0,0,0
L00026,832,0.6478,3.1,16051.0,40463.0,0,0
L00027,743,0.5305,6.5,24201.0,60836.0,0,0
L00028,666,0.6435,3.9,75312.0,75373.0,1,0.8186
L00029,667,0.223,0.7,11565.0,68992.0,0,0
L00030,613,0.2154,2.9,22785.0,62076.0,0,0
L00031,735,0.491,1.4,31510.0,32024.0,0,0
L00032,558,0.1507,5.3,47064.0,55386.0,0,0
L00033,654,0.1832,5.5,51237.0,61340.0,0,0
L00034,677,0.3535,7.3,38137.0,48553.0,0,0
